date,mess,meal,excellent,good,okay,poor,day,score,votes
2024-02-16,1,lunch,1.7857142857142858,1.7857142857142858,14.285714285714286,82.14285714285715,Friday,1.4107142857142858,56
2024-02-16,2,lunch,1.0204081632653061,3.0612244897959187,21.42857142857143,74.48979591836735,Friday,1.5612244897959184,98
2024-02-17,1,breakfast,1.5625,12.5,45.3125,40.625,Saturday,2.34375,64
2024-02-17,2,breakfast,0.8771929824561403,7.894736842105263,32.45614035087719,58.7719298245614,Saturday,1.9210526315789473,114
2024-02-17,1,lunch,1.36986301369863,4.10958904109589,23.28767123287671,71.23287671232876,Saturday,1.643835616438356,73
2024-02-17,2,lunch,1.36986301369863,4.10958904109589,23.28767123287671,71.23287671232876,Saturday,1.643835616438356,73
2024-02-18,1,breakfast,1.25,21.25,33.75,43.75,Sunday,2.3625,80
2024-02-18,2,breakfast,1.25,21.25,33.75,43.75,Sunday,2.3625,80
2024-02-18,1,dinner,1.3888888888888888,6.944444444444445,18.055555555555554,73.61111111111111,Sunday,1.625,72
2024-02-18,1,dinner,1.3888888888888888,6.944444444444445,18.055555555555554,73.61111111111111,Sunday,1.625,72
2024-02-19,2,breakfast,0.9090909090909091,9.09090909090909,66.36363636363636,23.636363636363637,Monday,2.6363636363636362,110
2024-02-19,1,breakfast,2.6666666666666665,9.333333333333332,48.0,40.0,Monday,2.3466666666666667,75
2024-02-23,1,breakfast,1.639344262295082,21.311475409836067,32.786885245901644,44.26229508196722,Friday,2.360655737704918,61
2024-02-23,2,breakfast,0.0,8.080808080808081,51.515151515151516,40.40404040404041,Friday,2.272727272727273,99
2024-02-23,1,dinner,0.0,5.454545454545454,56.36363636363636,38.18181818181818,Friday,2.290909090909091,55
2024-02-23,2,dinner,0.0,0.9009009009009009,52.252252252252255,46.846846846846844,Friday,2.0720720720720722,111
2024-02-24,2,breakfast,3.3333333333333335,18.88888888888889,56.66666666666667,21.11111111111111,Saturday,2.8333333333333335,90
2024-02-24,1,breakfast,0.0,3.9215686274509802,45.09803921568627,50.98039215686274,Saturday,2.019607843137255,51
2024-02-24,1,lunch,1.4492753623188406,24.63768115942029,42.028985507246375,31.884057971014492,Saturday,2.63768115942029,69
2024-02-24,2,lunch,1.4492753623188406,24.63768115942029,42.028985507246375,31.884057971014492,Saturday,2.63768115942029,69
2024-02-25,1,lunch,1.408450704225352,14.08450704225352,40.84507042253521,43.66197183098591,Sunday,2.295774647887324,71
2024-02-25,2,lunch,1.408450704225352,14.08450704225352,40.84507042253521,43.66197183098591,Sunday,2.295774647887324,71
2024-02-25,2,breakfast,1.0309278350515463,5.154639175257731,13.402061855670102,80.41237113402062,Sunday,1.4639175257731958,97
2024-02-25,1,breakfast,1.098901098901099,18.681318681318682,57.142857142857146,23.07692307692308,Sunday,2.7472527472527473,91
2024-02-25,1,dinner,0.7518796992481203,7.518796992481203,43.609022556390975,48.1203007518797,Sunday,2.1278195488721803,133
2024-02-25,1,dinner,1.7094017094017093,16.23931623931624,23.076923076923077,58.97435897435897,Sunday,2.017094017094017,117
2024-02-26,1,breakfast,7.8431372549019605,17.64705882352941,27.45098039215686,47.05882352941176,Monday,2.392156862745098,51
2024-02-26,2,breakfast,1.0869565217391304,73.91304347826086,25.0,0.0,Monday,3.760869565217391,92
2024-02-26,1,lunch,1.694915254237288,27.11864406779661,54.23728813559322,16.94915254237288,Monday,2.9661016949152543,59
2024-02-26,2,lunch,1.25,11.25,60.0,27.5,Monday,2.5875,80
2024-02-26,1,dinner,1.0869565217391304,10.869565217391305,39.130434782608695,48.91304347826087,Monday,2.152173913043478,92
2024-02-26,2,dinner,2.4390243902439024,5.691056910569106,45.52845528455285,46.34146341463415,Monday,2.178861788617886,123
2024-02-27,2,breakfast,1.1904761904761905,36.904761904761905,40.476190476190474,21.428571428571427,Tuesday,2.9642857142857144,84
