dinnerate,mess,meal,excellent,good,average,poor,day,remarks
21-04-2024,1,breakfast,1,16,34,7,Sunday,
21-04-2024,2,breakfast,3,44,16,8,Sunday,
21-04-2024,1,lunch,2,17,22,35,Sunday,
21-04-2024,2,lunch,0,15,15,32,Sunday,
21-04-2024,2,dinner,1,47,61,29,Sunday,
21-04-2024,1,dinner,0,3,30,54,Sunday,
21-04-2024,1,dinner,0,21,40,27,Sunday,
22-04-2024,1,breakfast,0,3,3,74,Monday,
22-04-2024,2,breakfast,0,0,8,64,Monday,
22-04-2024,1,lunch,0,12,32,19,Monday,
22-04-2024,2,lunch,0,4,27,48,Monday,
22-04-2024,1,lunch,0,31,17,15,Monday,
22-04-2024,2,lunch,0,11,34,43,Monday,
23-04-2024,2,breakfast,0,15,19,59,Tuesday,
23-04-2024,1,breakfast,0,17,50,22,Tuesday,
23-04-2024,2,dinner,0,0,6,88,Tuesday,
23-04-2024,2,dinner,0,5,22,55,Tuesday,
24-04-2024,1,lunch,7,19,21,48,Wednesday,
24-04-2024,2,lunch,0,2,15,79,Wednesday,
24-04-2024,2,breakfast,0,2,11,72,Wednesday,
24-04-2024,1,breakfast,1,7,12,60,Wednesday,
24-04-2024,1,lunch,0,9,25,34,Wednesday,
24-04-2024,2,lunch,0,5,47,27,Wednesday,
24-04-2024,1,dinner,1,34,24,26,Wednesday,
24-04-2024,2,dinner,4,95,22,28,Wednesday,
25-04-2024,2,breakfast,0,3,21,39,Thursday,
25-04-2024,1,breakfast,1,2,47,34,Thursday,
25-04-2024,1,dinner,0,5,6,95,Thursday,
25-04-2024,2,dinner,0,1,6,115,Thursday,
26-04-2024,1,breakfast,0,0,9,36,Friday,
26-04-2024,2,breakfast,0,0,13,40,Friday,
26-04-2024,2,breakfast,0,4,32,21,Friday,
26-04-2024,1,breakfast,0,2,41,15,Friday,
27-04-2024,2,breakfast,0,0,6,94,Saturday,
27-04-2024,1,breakfast,0,2,15,88,Saturday,
27-04-2024,2,lunch,0,0,23,65,Saturday,
27-04-2024,1,lunch,0,15,37,43,Saturday,
27-04-2024,1,dinner,0,0,22,54,Saturday,
27-04-2024,2,dinner,0,0,19,58,Saturday,
28-04-2024,1,breakfast,12,13,43,13,Sunday,
28-04-2024,2,breakfast,20,20,24,21,Sunday,
28-04-2024,2,lunch,0,0,21,45,Sunday,
28-04-2024,1,lunch,0,17,19,39,Sunday,
28-04-2024,2,dinner,0,13,77,25,Sunday,
28-04-2024,1,dinner,0,4,44,32,Sunday,
29-04-2024,1,lunch,1,35,34,14,Monday,
29-04-2024,2,breakfast,1,0,6,92,Monday,
29-04-2024,1,breakfast,2,5,7,92,Monday,
02-05-2024,2,dinner,0,0,9,88,Thursday,
02-05-2024,1,dinner,0,3,6,109,Thursday,
